"";"year";"area";"seas";"datetime";"check";"transect";"station";"trapnum";"Nindnum";"sex";"status";"weight";"species";"marked";"note"
"1";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G2";"1A";"0007D61132";"M";"S";23;"GRAASIDEMUS";"N";NA
"2";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G2";"4B";"ESCNA00";NA;NA;NA;"GRAASIDEMUS";"N";"ESCAPED DURING HANDLING"
"3";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G4";"2B";"0007D6011F";"M";"S";23;"ROEDMUS";"N";NA
"4";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G8";"3C";"0007D31996";"F";"C,L";27;"ROEDMUS";"N";NA
"5";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G8";"3C";"0007D60CB7";"M";"S";20;"ROEDMUS";"N";NA
"6";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G8";"4A";"UNM001";"M";"A";11;"GRAASIDEMUS";"N";"NO PITTAG"
"7";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G8";"1C";"0007D2C9AC";"F";"P,L";54;"GRAASIDEMUS";"N";NA
"8";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G11";"1B";"0007D3082C";"M";"S";43;"GRAASIDEMUS";"R";NA
"9";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G11";"4A";"0007D60F13";"F";"NP";15;"ROEDMUS";"N";NA
"10";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G11";"3D";"0007D3653C";"M";"S";31;"GRAASIDEMUS";"N";NA
"11";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G11";"3A";"0007D60848";"M";"S";16;"GRAASIDEMUS";"N";NA
"12";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G15";"3A";"0007D2DFEE";"F";"O";26;"GRAASIDEMUS";"N";NA
"13";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G15";"2D";"0007D60258";"F";"C,P";38;"GRAASIDEMUS";"N";NA
"14";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"3C";"0007D2DEA3";"M";"S";30;"GRAASIDEMUS";"N";NA
"15";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"3C";"0007D3947D";"F";"C";26;"GRAASIDEMUS";"N";NA
"16";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"3D";"ESCNA01";NA;NA;NA;"ROEDMUS";"N";"ESCAPED DURING HANDLING"
"17";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"1D";"0007D2B7E2";"M";"S";30;"ROEDMUS";"R";NA
"18";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"4C";"UNM002";"M";"A";12;"GRAASIDEMUS";"N";"NO PITTAG"
"19";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"4C";"UNM003";"M";"A";11;"GRAASIDEMUS";"N";"NO PITTAG"
"20";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"4A";"UNM004";"F";"NP";12;"GRAASIDEMUS";"N";"NO PITTAG"
"21";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1C";"0007D3D9AA";"F";"O,L";40;"GRAASIDEMUS";"N";NA
"22";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1C";"UNM005";"M";"A";11;"GRAASIDEMUS";"N";"NO PITTAG"
"23";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1C";"UNM006";"F";"NP";10;"GRAASIDEMUS";"N";"NO PITTAG"
"24";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1C";"UNM007";"F";"NP";10;"GRAASIDEMUS";"N";"NO PITTAG"
"25";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"3D";"0007D39AEF";"F";"O,L";38;"GRAASIDEMUS";"N";NA
"26";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"1D";"0007D3C69E";"M";"S";38;"GRAASIDEMUS";"N";NA
"27";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"1A";"0007D3158F";"M";"S";24;"ROEDMUS";"N";NA
"28";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G1";"2D";"0007D3A19B";"M";"S";24;"GRAASIDEMUS";"N";NA
"29";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G1";"2D";"0007D2D3E9";"M";"S";44;"GRAASIDEMUS";"N";NA
"30";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G1";"1D";"0007D60397";"F";"O,L";43;"GRAASIDEMUS";"N";NA
"31";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G1";"1B";"0007D395AE";"F";"L,C";45;"GRAASIDEMUS";"N";NA
"32";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G2";"3B";"0007D3CC12";"M";"S";29;"GRAASIDEMUS";"N";NA
"33";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G2";"3B";"0007D3D18D";"F";"O";15;"GRAASIDEMUS";"N";NA
"34";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G2";"3B";"0007D39E3E";"M";"S";26;"GRAASIDEMUS";"N";NA
"35";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G2";"3D";"0007D607DA";"F";"C,L";44;"GRAASIDEMUS";"R";NA
"36";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G2";"2A";"0007D60666";"M";"S";31;"GRAASIDEMUS";"N";NA
"37";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G2";"2A";"0007D32A47";"F";"NP";16;"GRAASIDEMUS";"N";NA
"38";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G4";"1D";"0007D2B2F9";"M";"S";32;"FJELLROTTE";"N";NA
"39";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G4";"1A";"0007D2D0DF";"F";"O,L";42;"FJELLROTTE";"N";NA
"40";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G4";"1B";"0007D3A965";"M";"S";18;"ROEDMUS";"N";NA
"41";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G4";"4B";"0007D612CD";"F";"O,L";45;"FJELLROTTE";"N";NA
"42";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G4";"3D";"0007D31928";"M";"S";26;"FJELLROTTE";"N";NA
"43";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G4";"2C";"0007D60C4D";"M";"S";25;"ROEDMUS";"N";NA
"44";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G4";"2D";"0007D30692";"M";"S";37;"GRAASIDEMUS";"N";"DIED DURING HANDLING"
"45";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G6";"3A";"0007D3182C";"F";"C,P";26;"ROEDMUS";"N";NA
"46";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G6";"2B";"0007D326CC";"F";"O";21;"ROEDMUS";"N";NA
"47";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G6";"4C";"0007D60E9D";"F";"C,L";35;"ROEDMUS";"N";NA
"48";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G8";"3B";"0007D60C8D";"M";"S";20;"ROEDMUS";"N";NA
"49";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G8";"1B";"0007D395C9";"M";"S";22;"FJELLROTTE";"N";NA
