"";"date";"period";"trap";"ind";"sex";"wgt";"cap";"com";"trapsession";"station";"check";"trapline"
"1";2018-05-29;"june";"8";"1001";"m";52;"n";NA;1;1;2;NA
"2";2018-05-30;"june";"9";"1001";"m";52;NA;NA;1;1;3;NA
"3";2018-05-31;"june";"14";"1001";"m";52;NA;NA;1;1;2;NA
"4";2018-05-30;"june";"16";"1003";"m";48;"n";NA;1;2;1;NA
"5";2018-05-31;"june";"17";"1003";"m";46;NA;NA;1;2;2;NA
"6";2018-05-30;"june";"42";"1004";"m";48;"n";NA;1;2;3;NA
"7";2018-05-31;"june";"43";"1004";"m";49;NA;NA;1;2;1;NA
"8";2018-05-31;"june";"8";"1005";"m";54;"n";NA;1;1;2;NA
"9";2018-05-31;"june";"42";"1010";"f";29;"n";"årsunge";1;2;3;NA
"10";2018-05-29;"june";"16";"2002";"f";45;"n";NA;1;2;1;NA
"11";2018-05-30;"june";"17";"2002";"f";43;NA;NA;1;2;2;NA
"12";2018-05-31;"june";"16";"2002";"f";43;NA;NA;1;2;1;NA
"13";2018-07-10;"july";"18";"484";"m";53;"n";NA;2;2;3;NA
"14";2018-07-12;"july";"21";"484";"m";55;NA;NA;2;2;3;NA
"15";2018-07-09;"july";"29";"536";"f";27;"n";NA;2;3;2;NA
"16";2018-07-12;"july";"30";"536";"f";26;NA;NA;2;3;3;NA
"17";2018-07-12;"july";"27";"568";"f";30;"n";NA;2;3;3;NA
"18";2018-07-12;"july";"6";"579";"f";28;"n";NA;2;1;3;NA
"19";2018-07-12;"july";"41";"587";"n";40;"n";NA;2;3;2;NA
"20";2018-07-12;"july";"4";"632";"f";56;"n";NA;2;1;1;NA
"21";2018-07-10;"july";"41";"666";"f";36;"n";"døde";2;3;2;NA
"22";2018-07-09;"july";"18";"772";"f";50;"g";"merket 2002, døde";2;2;3;NA
"23";2018-07-09;"july";"14";"4b6";"m";45;"n";NA;2;1;2;NA
"24";2018-07-12;"july";"5";"4b6";"m";44;NA;NA;2;1;2;NA
"25";2018-07-10;"july";"6";"5bb";"m";42;"n";NA;2;1;3;NA
"26";2018-07-12;"july";"8";"5bb";"m";44;NA;NA;2;1;2;NA
"27";2018-07-10;"july";"15";"6a6";"m";47;"n";NA;2;2;3;NA
"28";2018-07-12;"july";"19";"6a6";"m";45;NA;NA;2;2;1;NA
"29";2018-07-12;"july";"33";"6ad";"f";26;"n";NA;2;3;3;NA
"30";2018-07-10;"july";"40";"6ca";"f";46;"g";"merket 1010";2;3;1;NA
"31";2018-07-12;"july";"32";"6ef";NA;45;"n";NA;2;3;2;NA
"32";2018-07-12;"july";"11";"76f";"m";43;"n";NA;2;1;2;NA
"33";2018-07-09;"july";"15";"79a";"f";38;"n";NA;2;2;3;NA
"34";2018-07-12;"july";"42";"79a";"f";36;NA;NA;2;2;3;NA
"35";2018-07-10;"july";"30";"7a4";"m";47;"n";NA;2;3;3;NA
"36";2018-07-12;"july";"31";"7a4";"m";47;NA;NA;2;3;1;NA
"37";2018-07-10;"july";"33";"7c4";"f";29;"n";NA;2;3;3;NA
"38";2018-07-12;"july";"35";"7c4";"f";29;NA;NA;2;3;2;NA
"39";2018-07-09;"july";"19";"7fa";"f";21;"n";NA;2;2;1;NA
"40";2018-07-12;"july";"38";"7fa";"f";21;NA;NA;2;3;2;NA
"41";2018-08-01;"august";"39";"438";"f";33;"n";NA;3;3;3;NA
"42";2018-08-02;"august";"31";"438";"f";32;NA;NA;3;3;1;NA
"43";2018-08-02;"august";"32";"439";"f";30;"n";NA;3;3;2;NA
"44";2018-08-02;"august";"2";"501";"m";52;"n";NA;3;1;2;NA
