dato	periode	stasjon 	art	kode	kjønn	vekt	rep	merk	annet
28.05.2019	june	6	f	479	f	37	4	g	
26.05.2019	june	44	f	485	f	30	2	n	
28.05.2019	june	19	f	502	m	47	3	n	
26.05.2019	june	1	f	511	m	47	3	n	
27.05.2019	june	3	f	511	m	46	3		
27.05.2019	june	27	f	515	m	50	3	n	
26.05.2019	june	11	f	538	f	34	4	g	
27.05.2019	june	10	f	538	f	33	4		
28.05.2019	june	10	f	538	f	34	4		
27.05.2019	june	6	f	579	f	45	4	g	
28.05.2019	june	5	f	579	f	42	2		
26.05.2019	june	30	f	644	f	48	3	n	
26.05.2019	june	17	f	662	m	40	3	g	
27.05.2019	june	19	f	662	m	41	3		
26.05.2019	june	42	f	672	m	40	3	g	
28.05.2019	june	43	f	672	m	41	3		
26.05.2019	june	43	f	678	f	30	2	n	
28.05.2019	june	44	f	678	f	32	1		
27.05.2019	june	43	f	683	m	40		n	
26.05.2019	june	10	f	688	f	38	4	g	
28.05.2019	june	9	f	688	f	35	1		
28.05.2019	june	16	f	707	m	43	3	n	
26.05.2019	june	19	f	718	f	32	2	n	
27.05.2019	june	40	f	745	m	47	3	n	
27.05.2019	june	17	f	761	f	39	4	g	
27.05.2019	june	24	f	779	f	28	2	n	
28.05.2019	june	24	f	779	f	30	1		
28.05.2019	june	32	f	781	m	41	3	n	
26.05.2019	june	37	f	798	m	37	3	n	
27.05.2019	june	42	f	798	m	37	3		
27.05.2019	june	7	f	820	m	41	3	n	
26.05.2019	june	40	f	7e3	m	45	3	n	
28.05.2019	june	41	f	7e3	m	46	3		
26.05.2019	june	9	f	4a2	m	39	3	n	
26.05.2019	june	14	f	4f9	m	37	3	n	
27.05.2019	june	15	f	4f9	m	38	3		
28.05.2019	june	45	f	4f9	m	39	3		
26.05.2019	june	13	f	4fe	m	44	3	n	
27.05.2019	june	38	f	50a	m	40	3	n	
27.05.2019	june	44	f	50c	f			n	død
27.05.2019	june	14	f	51a	f	37	4	g	
28.05.2019	june	13	f	51a	f	37	4		
28.05.2019	june	8	f	54f	m	46	3	n	
26.05.2019	june	3	f	56c	m	39	3	n	
28.05.2019	june	1	f	56c	m	43	3		
26.05.2019	june	31	f	5a4	m	45	3	n	
28.05.2019	june	31	f	5a4	f	48	1		
27.05.2019	june	31	f	5b3	m	42	3	n	
27.05.2019	june	41	f	5c6	m	45	3	n	
26.05.2019	june	27	f	63d	f	43	2	n	
27.05.2019	june	24	f	6ba	m	41	3	n	
28.05.2019	june	15	f	6d9	m	45	3	n	
26.05.2019	june	41	f	72b	f	30	2	n	
28.05.2019	june	42	f	74d	f	32	1	n	
27.05.2019	june	11	f	78f	f	49	3	n	
28.05.2019	june	35	f	7be	f	51	3	n	
28.05.2019	june	30	f	7c7	f	37	4	n	
27.05.2019	june	16	f	7ec	f	32	4	n	
26.05.2019	june	43	f	b0c	f	27	2	n	
24.06.2019	july	44	f	111	f	45	4	n	død
25.06.2019	july	4	f	112	f	15	1	n	død
25.06.2019	july	4	f	113	f	13	1	n	død
25.06.2019	july	13	f	430	f	35	4	g	
25.06.2019	july	39	f	473	m	58	3	n	
24.06.2019	july	39	f	475	f	27	1	n	
25.06.2019	july	38	f	475	f	30	2		
26.06.2019	july	35	f	475	f	22	2		
24.06.2019	july	9	f	489	f	52	5	n	
25.06.2019	july	8	f	489	f	50	4		
26.06.2019	july	8	f	489	f	49	4		
24.06.2019	july	1	f	511	m	62	3	g	
25.06.2019	july	6	f	511	m	62	3		
24.06.2019	july	26	f	517	f	51	5	n	
25.06.2019	july	23	f	535	m	55	3	n	
24.06.2019	july	10	f	538	f	48	4	g	
25.06.2019	july	11	f	538	f	44	4		
26.06.2019	july	11	f	538	f	43	4		
25.06.2019	july	34	f	570	f	19	1	g	
26.06.2019	july	34	f	570	f	20	2		
24.06.2019	july	36	f	571	f	27	1	n	
26.06.2019	july	39	f	578	f	46	4	n	
24.06.2019	july	2	f	579	f	50	5	g	
25.06.2019	july	2	f	579	f	51	5		
26.06.2019	july	5	f	579	f	51	5		
26.06.2019	july	22	f	610	m	67	3	n	
24.06.2019	july	38	f	613	f	26	2	n	
24.06.2019	july	32	f	615	f	51	4	n	
26.06.2019	july	32	f	615	f	53	4		
25.06.2019	july	21	f	630	m	24	1	n	
25.06.2019	july	21	f	659	f	25	1	n	
26.06.2019	july	21	f	659	f	25	1		
25.06.2019	july	12	f	660	m	30	3	n	
24.06.2019	july	18	f	678	f	48	4	g	
25.06.2019	july	18	f	678	f	50	4		
26.06.2019	july	17	f	678	f	47	4		
25.06.2019	july	9	f	688	f	55	4	g	
26.06.2019	july	10	f	688	f	56	5		
24.06.2019	july	45	f	707	m	54	3	g	
24.06.2019	july	42	f	718	f	45	4	g	
25.06.2019	july	41	f	718	f	44	3		
26.06.2019	july	42	f	718	f	42	4		
25.06.2019	july	22	f	745	m	56	3	g	
25.06.2019	july	35	f	750	m	22	1	n	
26.06.2019	july	21	f	750	m	23	1		
24.06.2019	july	23	f	779	f	50	5	g	
26.06.2019	july	23	f	779	f	55	3		
25.06.2019	july	34	f	802	m	20	1	n	
24.06.2019	july	8	f	820	m	64	3	g	
26.06.2019	july	34	f	824	f	22	2	n	
24.06.2019	july	43	f	46d	f	47	4	n	
25.06.2019	july	42	f	46d	f	50	3		
26.06.2019	july	44	f	46d	f	47	4		
24.06.2019	july	13	f	4b0	f	49	4	n	
26.06.2019	july	13	f	4b0	f	43	4		
24.06.2019	july	22	f	4b4	f	44	2	n	
26.06.2019	july	45	f	4ce	f	55	3	n	
26.06.2019	july	14	f	4f9	m	58	3	g	
24.06.2019	july	12	f	51a	f	43	5	g	
24.06.2019	july	40	f	61a	f	60	4	n	
25.06.2019	july	37	f	51f	m	52	3	n	
26.06.2019	july	36	f	51f	m	52	3		
25.06.2019	july	10	f	54f	m	63	3	g	
25.06.2019	july	3	f	5a0	f	58	4	n	
26.06.2019	july	30	f	5a4	m	67	3	g	
24.06.2019	july	20	f	5af	m	39	3	n	
25.06.2019	july	15	f	5b4	f	33	2	n	
24.06.2019	july	19	f	5da	m	59	3	n	
25.06.2019	july	19	f	5da	m	57	3		
25.06.2019	july	36	f	65d	m	42	3	n	
26.06.2019	july	24	f	69d	m	15	1	n	
24.06.2019	july	3	f	6b7	m	57	3	n	
26.06.2019	july	3	f	6b7	m	57	3		
24.06.2019	july	21	f	6d1	m	38	3	n	
26.06.2019	july	38	f	6d9	m	52	3	g	
25.06.2019	july	16	f	6da	f	52	3	n	
26.06.2019	july	45	f	6da	f	55	3		
25.06.2019	july	21	f	71e	f	25	1	n	
26.06.2019	july	41	f	72b	f	46	5	g	
24.06.2019	july	24	f	72d	f	12	1	n	
26.06.2019	july	24	f	72d	f	15	1	n	
26.06.2019	july	18	f	74d	f	50	5		
26.06.2019	july	29	f	74g	f	29	2	n	
25.06.2019	july	1	f	77c	f	35	2	n	
24.06.2019	july	11	f	78f	f	45	5	g	
25.06.2019	july	33	f	7a3	m	37	3	n	
25.06.2019	july	30	f	7c7	f	43	4	g	
26.06.2019	july	25	f	7c7	f	43	4		
25.06.2019	july	20	f	7cf	m	38	3	n	
25.06.2019	july	40	f	7d4	f	62	3	n	
26.06.2019	july	40	f	7d4	f	58	3		
25.06.2019	july	45	f	7ec	f	50	5	g	
26.06.2019	july	16	f	7ec	f	48	3		
26.06.2019	july	33	f	7f1	f	30	2	n	
24.06.2019	july	16	f	81e	f	46	3	n	
24.06.2019	july	34	f	b70	f	19	1	n	
25.06.2019	july	44	f	um4	m	11	1	n	
26.06.2019	july	43	f	um5	f	11	1	n	
31.07.2019	aug	11	f	5e0	f	24	1	n	
