year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
Z18	PORSANGER	SPRING	160618	1	MÅSØY	G7	3B	NA	0007D60D46	M	S	28	ROEDMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G2	1A	NA	0007D61132	M	S	23	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G2	4B	NA	NA	NA	NA	NA	GRAASIDEMUS	N	ESCAPED DURING HANDLING
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G4	2B	NA	0007D6011F	M	S	23	ROEDMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G8	3C	NA	0007D31996	F	C,L	27	ROEDMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G8	3C	NA	0007D60CB7	M	S	20	ROEDMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G8	4A	NA	UNM001	M	A	11	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G8	1C	NA	0007D2C9AC	F	P,L	54	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G11	1B	NA	0007D3082C	M	S	43	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G11	4A	NA	0007D60F13	F	NP	15	ROEDMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G11	3D	NA	0007D3653C	M	S	31	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G11	3A	NA	0007D60848	M	S	16	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G15	3A	NA	0007D2DFEE	F	O	26	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G15	2D	NA	0007D60258	F	C,P	38	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G16	3C	NA	0007D2DEA3	M	S	30	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G16	3C	NA	0007D3947D	F	C	26	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G16	3D	NA	NA	NA	NA	NA	ROEDMUS	N	ESCAPED DURING HANDLING
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G16	1D	NA	0007D2B7E2	M	S	30	ROEDMUS	R	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G19	4C	NA	UNM002	M	A	12	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G19	4C	NA	UNM003	M	A	11	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G19	4A	NA	UNM004	F	NP	12	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G19	1C	NA	0007D3D9AA	F	O,L	40	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G19	1C	NA	UNM005	M	A	11	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G19	1C	NA	UNM006	F	NP	10	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G19	1C	NA	UNM007	F	NP	10	GRAASIDEMUS	N	NO PITTAG
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G20	3D	NA	0007D39AEF	F	O,L	38	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G20	1D	NA	0007D3C69E	M	S	38	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G20	1A	NA	0007D3158F	M	S	24	ROEDMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G01	2D	NA	0007D3A19B	M	S	24	GRAASIDEMUS	N	
