year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G1	3B	NA	0007D5FFCE	F	L	41	GRAASIDEMUS		
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G1	3A	NA	0007DFB614	M	A	25	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G1	2A	NA	0007DFB5E8	F	L	38	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G2	3D	NA	0007DF13CF	F	L	33	GRAASIDEMUS		
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G2	3D	NA	0007DFB5BØ	M	A	23	GRAASIDEMUS	N	Er det vikelig mulig at det skal være Ø?
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G2	4B	NA	0007DFB7BC	M	A	28	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G2	4A	NA	0007DFB552	F	L	35	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G2	4A	NA	0007DFB774	M	A	25	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G2	1C	NA					RØYSKATT		ikke merka
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G2	1C	NA	NA	F	L	NA	GRAASIDEMUS		spist
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G4	2A	NA	0007DFB728	M	A	17	MARKMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G4	3A	NA	0007DF0977	F	L	45	MARKMUS		
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G4	3A	NA	0007DFB5E9	F	NP	27	MARKMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G4	4B	NA	0007DFB7D9	M	A	17	ROEDMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G4	4B	NA	0007DF197E	M	A	20	ROEDMUS		
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G4	4D	NA	0007DFB4BA	F	L	32	MARKMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G5	3C	NA	0007DFB4F6	F	L	34	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G5	3D	NA	0007DFB4BE	M	A	17	ROEDMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G5	4C	NA	0007DFB453	M	A	25	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G5	4D	NA	0007DFB449	F	NP	15	ROEDMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G5	1C	NA	0007DFBF2C	M	A	17	ROEDMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G5	1D	NA	0007DFB55F	M	A	24	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G8	3B	NA	0007DFB8C8	M	A	30	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G8	3A	NA	0007DFB948	M	A	24	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G8	1B	NA	0007DFBBFØ	F	NP	25	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G8	1A	NA	0007DFBA42	F	L	38	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G8	1D	NA	0007DFB548	F	NP	23	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G11	2D	NA	0007DFB85C	F	L	30	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G11	1B	NA	0007DFBB61	F	NP	21	GRAASIDEMUS	N	
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G11	1A	NA	0007DF33OD	F	L	39	GRAASIDEMUS		
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G11	1A	NA	0007DFDACØ	M	S	40	GRAASIDEMUS		
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G11	1D	NA	UNM001	M	A	>10	GRAASIDEMUS		
Z18	PORSANGER	AUTUMN	110918	1	MÅSØY	G11	1D	NA	UNM002	M	A	>10	GRAASIDEMUS		
