year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
A18	PORS	AUTUMN	20818	1	2	1	3C	NA	UNM031	M	A	11	GRAASIDEMUS	N	NO PITTAG
A18	PORS	AUTUMN	20818	1	2	1	3A	NA	UNM032	M	A	12	GRAASIDEMUS	N	NO PITTAG
A18	PORS	AUTUMN	20818	1	2	1	3B	NA	0007D606CC	F	O,L	56	GRAASIDEMUS	R	SPRING 18
A18	PORS	AUTUMN	20818	1	2	1	2B	NA	0007D60C2F	F	O,L	41	GRAASIDEMUS	R	SPRING 18
A18	PORS	AUTUMN	20818	1	2	1	2B	NA	0007D6081D	F	NP	14	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	1	2A	NA	0007D6134A	F	L,C	42	GRAASIDEMUS	R	SPRING 18
A18	PORS	AUTUMN	20818	1	2	1	2C	NA	0007D6027B	M	S	54	GRAASIDEMUS	R	SPRING 18
A18	PORS	AUTUMN	20818	1	2	1	2C	NA	UNM033	F	NP	12	GRAASIDEMUS	N	NO PITTAG
A18	PORS	AUTUMN	20818	1	2	2	2B	NA	0007D6144D	F	O,L	39	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	2B	NA	0007D32F13	M	S	49	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	3B	3122	NA	F	O,L	44	GRAASIDEMUS	R	AUTUMN 17?
A18	PORS	AUTUMN	20818	1	2	2	3B	3021	NA	F	C,L	50	GRAASIDEMUS	R	AUTUMN 17?
A18	PORS	AUTUMN	20818	1	2	2	3A	NA	UNM034	M	A	12	GRAASIDEMUS	N	NO PITTAG
A18	PORS	AUTUMN	20818	1	2	2	3A	NA	0007D2CC7D	F	O,L	40	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	2C	NA	0007D2C2B8	F	C,L	39	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	2D	NA	0007D2CDE4	M	A/S	23	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	2D	NA	0007D6086F	M	A	16	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	2D	NA	0007D60081	M	A/S	22	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	1B	NA	0007D6084C	M	S	39	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	1A	NA	0007D2DB56	F	C,L	39	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	1	3	2D	NA	0007D5FFC4	F	O,L	32	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	1	3	1A	NA	0007D3A8B5	F	C,L	39	GRAASIDEMUS	R	SPRING 18
A18	PORS	AUTUMN	20818	1	5	2	4D	NA	0007D60468	M	S	34	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	5	2	4D	NA	0007D39A95	M	S	22	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	5	2	3D	NA	0007D3AAEB	F	O	16	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	3	2	2B	NA	0007D30722	F	C,P	50	FJELLROTTE	N	
A18	PORS	AUTUMN	20818	1	3	2	2A	NA	0007D2BEB9	F	L,O	36	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	3	2	1C	NA	0007D2E77E	F	L,C	51	FJELLROTTE	N	
A18	PORS	AUTUMN	20818	1	3	2	4A	NA	0007D31000	M	S	22	FJELLROTTE	N	
A18	PORS	AUTUMN	20818	1	3	2	4C	NA	0007D609A9	F	L,C	42	FJELLROTTE	N	
A18	PORS	AUTUMN	20818	1	3	2	3D	NA	UNM035	M	A	11	ROEDMUS	N	
A18	PORS	AUTUMN	20818	1	3	2	3B	NA	0007D3173B	M	S	24	FJELLROTTE	N	
A18	PORS	AUTUMN	20818	1	2	1	4B	NA	0007D5FE76	M	S	45	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	1	4B	NA	0007D2B662	M	S	31	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	1	4A	NA	0007D61597	F	O,L	50	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	1	1C	NA	0007D2B8A2	M	S	24	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	1	1D	NA	0007D315DC	M	A/S	26	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	3C	NA	0007D60630	F	P,L	48	GRAASIDEMUS	R	
A18	PORS	AUTUMN	20818	1	2	2	3D	NA	UNM036	M	A	10	GRAASIDEMUS	N	NO PITTAG
A18	PORS	AUTUMN	20818	1	2	2	3D	NA	UNM037	M	A	12	GRAASIDEMUS	N	NO PITTAG
A18	PORS	AUTUMN	20818	1	2	2	3D	NA	0007D61568	M	S	16	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	3D	NA	0007D3A112	M	S	15	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	4B	NA	0007D3657A	M	S	45	GRAASIDEMUS	N	
A18	PORS	AUTUMN	20818	1	2	2	4C	NA	0007D60001	F	O	31	GRAASIDEMUS	N	
