year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
Z18	PORS	AUTUMN	110918	1	5	2	4D	NA	0007DFAAEB	F	L	31	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	5	2	4B	NA	0007DF05B9	M	S	32	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	5	2	4B	NA	0007DFB59C	M	A	16	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	5	2	2A	NA	0007DFB476	F	NP	24	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	5	2	2A	NA	0007DFB52A	M	A/S	25	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	3	2	3C	NA	0007DFB66C	M	A	19	ROEDMUS	N	
Z18	PORS	AUTUMN	110918	1	3	2	2C	NA	0007DFB73D	M	A	21	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	3	2	2A	NA	0007DFB5D5	M	A	25	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	3	2	2D	NA	0007DFBEB9	F	L	36	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	3	2	1D	NA	NA	M	S	29	GRAASIDEMUS	MANGLER HALE	
Z18	PORS	AUTUMN	110918	1	3	2	1C	NA	0007DFB493	M	S	22	MARKMUS	N	
Z18	PORS	AUTUMN	110918	1	3	2	1C	NA	0007DFB66F	F	NP	20	MARKMUS	N	
Z18	PORS	AUTUMN	110918	1	3	2	4A	NA	0007DFB5AA	M	A	21	MARKMUS	N	
Z18	PORS	AUTUMN	110918	1	3	2	4A	NA	0007DFB88D	F	NP	20	MARKMUS	N	
Z18	PORS	AUTUMN	110918	1	2	1	4C	NA	0007DFB593	M	S	28	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	1	4A	NA	0007DFC4D3	F	NP	16	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	2	1	4A	NA	0007DFB641	M	S/A	29	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	1	4A	NA	0007DFB6B6	M	S	33	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	1	4D	NA	0007DFB44D	M	A	32	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	1	4D	NA	0007DFB60D	M	S	33	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	1	1C	NA	0007DF1597	F	PL	43	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	2	1	1C	NA	0007DF15DC	M	S	30	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	2	1	1B	NA	0007DFB64A	M	A	27	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	3B	NA	0007DFB6CB	M	A	25	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	3B	NA	0007DFB6AD	M	A	22	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	3B	NA	0007DFB455	M	S/A	23	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	3C	NA	0007DFC2B8	F	PL	37	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	2	2	2B	NA	0007DFD7C6	F	NP	29	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	2	2	2B	NA	0007DFB788	M	S/A	26	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	2B	NA	0007DFB612	F	NP	26	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	2A	NA	0007DFCD66	F	L	30	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	2	2	2A	NA	0007DFB9D9	F	NP	13	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	2C	NA	0007DFB51B	M	S	26	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	2C	NA	0007DFB5E4	F	PL	27	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	2C	NA	0007DFB6AF	M	A	15	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	2C	NA	0007DFB6EE	F	NP	20	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	2C	NA	UNM001	M	A	12	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	1B	NA	0007DFB4BB	F	NP	16	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	1B	NA	0007DFDB56	F	L	33	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	2	2	1A	NA	0007DFB78D	M	S	30	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	1A	NA	0007DF043F	F	NP	33	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	1	2	2C	NA 	0007DFB64B	M	A	17	ROEDMUS	N	
Z18	PORS	AUTUMN	110918	1	1	2	2A	NA	0007DFB809	M	A	20	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	1	2	2A	NA	0007DFB482	F	NP	17	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	1	2	1B	NA	0007DFFFC4	F	L	35	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	1	2	1A	NA	0007DFA8B5	F	L	42	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	1	2	2B	NA	0007DFB748	M	S	30	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	1	2	2A	NA	0007DFB482	F	NP	18	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	1	2	1B	NA	0007DF0F22	M	S	25	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	1	3	1A	NA	0007DFB4C1	M	S	30	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	1	4C	NA	0007DFB75D	F	P	48	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	1	4B	NA	UNM002	M	A	16	GRAASIDEMUS	DEAD	
Z18	PORS	AUTUMN	120918	2	2	1	4A	NA	0007DFC4D3	M	A	29	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	4D	NA	0007DFB60D	M	S/A	29	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	1C	NA	0007DF15DC	M	S	30	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	1D	NA	0007DFB766	F	L	44	FJELLROTTE	N	
Z18	PORS	AUTUMN	120918	2	2	2	3B	NA	0007DF13AB	M	A	26	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	3A	NA	0007DFB612	F	NP	30	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	2C	NA	0007DFB637	M	A	26	GRAASIDEMUS	N	
