year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G1	2D	NA	0007A67705	M	S	29	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G1	1B	NA	0007A6357E	F	C	34	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G1	4A	NA	0007A66E02	F	L,O	52	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G1	4D	NA	0007DFB7BA	M	S	55	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G2	3C	NA	0007A63DF1	F	L,O	42	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G2	3D	NA	0007A63A42	M	S	31	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G2	1A	NA	0007A63751	F	C	30	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G2	2B	NA	0007A63BE4	M	S	29	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G2	1C	NA	0007A5F533	F	C	37	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G2	4B	NA	0007A62BB5	M	S	27	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G4	1D	NA	0007A63B4F	M	S	31	MARKMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G4	4C	NA	0007A5EC95	F	C,L	44	MARKMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G6	3D	NA	0007D4456F	F	C,L	36	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G6	4D	NA	0007D45964	M	S	19	ROEDMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G6	1A	NA	0007A60E52	M	S	53	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G8	3B	NA	0007A62B34	F	C	24	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G8	4B	NA	0007DFBAA0	F	C,L	35	ROEDMUS	R	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G8	4C	NA	0007DFB486	F	C,L	52	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G8	4D	NA	0007A64B93	M	S	26	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G8	1A	NA	0007A66EF1	M	S	27	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G8	1D	NA	0007A640B3	M	S	25	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G11	3A	NA	0007A5FCF4	M	S	22	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G11	4C	NA	0007A5EA70	M	S	22	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G11	4C	NA	0007A64486	M	S	24	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G11	4B	NA	0007DFB79D	M	S	45	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G11	4A	NA	0007A5EABD	M	S	26	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G11	1A	NA	0007A641B9	M	S	21	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G11	2A	NA	0007A5F584	M	S	24	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	3C	NA	0007DFB7FD	M	S	41	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	3D	NA	0007A6094C	M	A	23	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	3C	NA	0007A5E62D	M	S	20	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	2C	NA	0007A61DB3	F	O,L	39	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	2D	NA	0007A63959	M	S	25	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	1B	NA	0007A5EFA3	F	O,L	36	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	1D	NA	0007A6370C	F	NA	NA	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	1C	NA	0007DFB742	M	S	44	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	4A	NA	0007A640FB	M	A	21	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	4C	NA	0007D479FA	M	S	49	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	4B	NA	0007A5EF47	M	S	23	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G15	4B	NA	0007A64595	M	S	28	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	3A	NA	0007A5FD18	M	S	23	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	3A	NA	0007A64B97	M	A	21	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	3A	NA	0007A63940	M	A	24	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	3A	NA	0007A5FF2F	M	S	24	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	3B	NA	0007A5EE65	M	S	43	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	4A	NA	0007A5FA7E	M	S	18	GRAASIDEMUS	N	
