year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note
Z19	PORSANGER	SPRING	170619	1	MASOY	G1	3B	FB4AB	F	L,P	45	GRAASIDEMUS	FALL18	
Z19	PORSANGER	SPRING	170619	1	MASOY	G1	2B	FBBDE	M	S	48	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G1	2B	FB614	M	S	47	GRAASIDEMUS	FALL18	
Z19	PORSANGER	SPRING	170619	1	MASOY	G1	2B	FB566	F	P	62	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G2	3C	FB8A0	F	L,P	48	GRAASIDEMUS	FALL18	
Z19	PORSANGER	SPRING	170619	1	MASOY	G2	4A	FBB72	F	L,P	41	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G2	1D	FB6FD	M	S	46	GRAASIDEMUS	FALL18	
Z19	PORSANGER	SPRING	170619	1	MASOY	G6	4B	FB6CD	M	S	31	ROEDMUS	FALL18	
Z19	PORSANGER	SPRING	170619	1	MASOY	G6	4B	FBB20	M	S	29	ROEDMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G6	4D	FBB9E	F	OP	24	ROEDMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G6	1C	FB840	M	S	29	ROEDMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G8	3B	FB879	F	L,P	43	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G8	2A	FBB12	M	S	31	ROEDMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G12	2A	FB532	F	L,P	43	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G12	2D	FBB61	F	L	38	GRAASIDEMUS	FALL18	
Z19	PORSANGER	SPRING	170619	1	MASOY	G12	1A	FB7ED	M	S	28	ROEDMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G12	1D	FB908	F	L	41	GRAASIDEMUS	FALL18	
Z19	PORSANGER	SPRING	170619	1	MASOY	G12	1C	FBA7E	M	S	40	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G15	3B	B7FD	M	S	45	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G15	2C	B6AB	M	S	36	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G15	2D	BB64	M	S	43	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G15	1B	BAEB	F	L	48	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G16	3C	D60726	F	L	48	GRAASIDEMUS	FALL18	DEAD
Z19	PORSANGER	SPRING	170619	1	MASOY	G16	4B	FB9DD	F	L	43	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G16	1C	D60DE0	F	L	46	GRAASIDEMUS	FALL18	
Z19	PORSANGER	SPRING	170619	1	MASOY	G16	1D	7DFB7A0	F	P	48	GRAASIDEMUS	FALL18	
Z19	PORSANGER	SPRING	170619	1	MASOY	G19	2C	BA22	M	S	37	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G19	2A	B8F0	M	S	28	ROEDMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G20	3B	B434	F	NP	35	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G20	2C	B97A	M	S	43	GRAASIDEMUS	FALL18	
Z19	PORSANGER	SPRING	170619	1	MASOY	G20	2A	B9D1	F	L	40	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G20	1A	FB971	M	S	40	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G20	2C	B8EA	M	S	48	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G20	2B	BA20	F	L	37	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G20	1A	B98C	F	L	39	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G19	3A	B8F0	M	S	28	ROEDMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G19	2A	B758	M	S	42	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G19	1C	B669	F	NL,NP	34	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G16	3C	UNMA	F	NP	10	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G16	3C	UNMB	F	NP	10	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G16	3C	UNMC	F	NP	10	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G16	3C	UNMD	F	NP	10	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G16	4B	B9DD	F	L	46	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G16	1C	BA8C	M	S	42	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G16	1C	B952	M	S	51	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G15	3B	B7FD	M	S	47	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G15	2C	B7FE	F	L	47	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G15	2A	B6AB	M	S	38	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G15	2D	B4B8	F	L,P	47	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G15	1A	BAEB	F	L,P	47	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G11	2D	B532	F	NL,OP	43	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G11	1D	B908	F	L	40	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G11	1C	BA7E	M	S	42	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G11	4C	BAC3	M	S	52	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G8	3B	B7C8	F	L	38	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G8	3A	B8C8	M	S	48	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G8	2A	BB12	M	S	32	ROEDMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G8	2A	BAA0	F	L	28	ROEDMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G8	1A	BA6D	F	L	43	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G6	4B	B6CD	M	S	30	ROEDMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G6	4D	BB9E	F	NP	24	ROEDMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G6	4A	BB20	M	S	32	ROEDMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G5	1B	B6F5	M	S	45	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G2	3C	B83E	F	L	37	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G2	4A	BB72	F	L	40	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	3B	UNMKA	F	NP	12	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	3B	UNMKB	F	NP	12	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	3B	UNMKC	F	NP	12	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	3B	UNMKD	M	A	12	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	3B	UNMKE	M	A	12	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	3A	B4AB	F	L,P	40	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	3A	UNML	F	NP	11	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	2C	B614	M	S	45	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	2D	B566	F	L	40	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	1B	BACA	M	S	38	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	3B	FB9E8	F	NP	32	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	3A	FA9E4	M	A	30	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	2C	67705	F	NP	28	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	2B	FA8E0	F	NP	29	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	2A	62BCD	M	A	29	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	2D	64C4B	F	NP	26	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	1B	FB7BA	M	S	43	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	1D	FBB52	F	NP	33	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	1D	FA91B	M	A	32	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	3C	FAAD3	F	NP	28	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	3C	FB8F4	M	A	31	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	3C	FA88A	F	NP	27	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	4B	FA98F	M	A	30	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	4C	FAB70	F	L	38	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	4C	FAA16	F	NP	15	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	4C	FAB4D	M	A	14	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	4C	FA8F2	F	NP	13	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	1C	63A42	M	A	28	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G4	1A	FA900	M	A	25	MARKMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G4	1B	FAA7B	M	A	27	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G4	2B	FABD7	F	L	39	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G4	2C	FA998	M	S	37	MARKMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G4	3A	FA881	F	PL	30	MARKMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G5	3C	FA9B7	M	A	17	ROEDMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G5	3D	FAA2F	M	A	17	ROEDMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G5	4C	FB89C	F	L	45	MARKMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G5	4C	FAAD7	M	A	16	ROEDMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G5	4D	UNMFA	M	A	15	ROEDMUS	N	DEAD
Z19	PORSANGER	FALL	100919	1	MASOY	G6	3D	FA8AE	F	NP	16	ROEDMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G6	3D	FA9CD	F	L	33	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G6	4B	FABD3	F	NP	15	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G6	4D	FBA39	M	A	16	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G6	1D	FA8E3	F	L	26	ROEDMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G8	2B	FBA3F	F	NP	19	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G8	2B	FABBE	M	A	23	GRAASIDEMUS	N	
