year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note	
Z19	PORS	SPRING	170619	1	5	1	4D	FB8FD	M	S	26	ROEDMUS	N		
Z19	PORS	SPRING	170619	1	3	1	4A	FBC19	M	S	57	MARKMUS	N		
Z19	PORS	SPRING	170619	1	3	1	3C	FB9DA	M	A/S	15	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	3	1	3B	FB848	M	A/S	16	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	3	1	3A	FBADD	M	A/S	15	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	3	1	3A	FBC1A	F	PERF	16	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	3	1	3A	FBA49	M	A/S	16	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	3	1	3A	FBB4A	F	NP	16	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	1	3D	FB859	F	L	42	GRAASIDEMUS	FALL18		
Z19	PORS	SPRING	170619	1	2	1	3C	FB653	M	S	46	GRAASIDEMUS	FALL18		
Z19	PORS	SPRING	170619	1	2	1	3B	FBA48	M	S	40	GRAASIDEMUS	FALL18		
Z19	PORS	SPRING	170619	1	2	1	3A	FB7CB	F	L	43	GRAASIDEMUS	FALL18		
Z19	PORS	SPRING	170619	1	2	1	2C	FB9E5	F	NL,CL	41	GRAASIDEMUS	FALL18		
Z19	PORS	SPRING	170619	1	2	1	1A	FB922	F	L	41	GRAASIDEMUS	FALL18		
Z19	PORS	SPRING	170619	1	2	2	3C	FBA32	F	PL,P	43	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	2	3D	FBA18	F	PL,P	47	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	2	4C	FBBDD	M	S	40	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	2	4D	FB7C3	F	NL,OP	36	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	2	4D	FB93C	M	S	43	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	2	4A	FBB95	F	NL,P	38	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	2	1C	D6043	F	NL,NP	32	GRAASIDEMUS	FALL18		
Z19	PORS	SPRING	170619	1	1	2	3C	FB8B7	M	S	50	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	1	2	3D	FB731	M	S	46	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	1	2	1B	5FFC4	F	P	43	GRAASIDEMUS	FALL18		
Z19	PORS	SPRING	170619	1	1	3	3C	FB9EE	M	S	42	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	1	3	3D	FB73B	M	S	54	MARKMUS	N		
Z19	PORS	SPRING	170619	1	1	3	3D	FB592	F	L,P	59	MARKMUS	N		
Z19	PORS	SPRING	170619	1	1	3	4B	BBA9	M	A	10	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	1	3	4A	FBAD3	F	L	43	MARKMUS	N		
Z19	PORS	SPRING	170619	1	1	3	4A	FBA79	M	A	13	MARKMUS	N		
Z19	PORS	SPRING	170619	1	1	3	4C	FBC0C	M	S	33	ROEDMUS	N		
Z19	PORS	SPRING	180619	2	1	2	3C	B866	F	PL,P	37	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	1	2	3C	B8B7	M	S	47	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	1	2	3D	BAD6	M	S	41	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	1	2	4B	B9BD	F	L	45	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	1	2	1C	BB47	F	L,P	40	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	1	2	1D	B889	M	S	21	MARKMUS	N	YOY	
Z19	PORS	SPRING	180619	2	1	3	3C	B592	F	L	43	MARKMUS			
Z19	PORS	SPRING	180619	2	1	3	3D	B9EE	M	S	41	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	1	3	4B	UNME	M	A	10	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	1	3	4B	UNMF	F	NP	9	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	1	3	4C	BA30	M	S	40	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	1	3	4C	B887	F	L,P	47	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	1	3	4A	B73B	M	S	59	MARKMUS			
Z19	PORS	SPRING	180619	2	1	3	4A	UNMG	M	A	12	MARKMUS	N		
Z19	PORS	SPRING	180619	2	1	3	1C	B8A1	M	A	14	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	1	3	1D	B9DB	M	S	29	FJELLROTTE	N		
Z19	PORS	SPRING	180619	2	2	1	3D	B895	F	L	43	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	2	1	3C	B907	M	S	42	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	2	1	3B	BAB3	F	L	47	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	2	1	3A	B7CB	F	PL,P	42	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	2	1	2C	B653	M	S	43	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	2	1	2C	UNMH	M	S	30	GRAASIDEMUS	N	DEAD	
Z19	PORS	SPRING	180619	2	2	1	2A	UNMI	NA	NA	NA	SNØMUS			
Z19	PORS	SPRING	180619	2	2	1	1B	B8A7	M	S	47	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	2	2	3C	B98E	M	S	40	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	2	2	4B	B5D9	M	S	31	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	2	2	4B	BBDD	M	S	38	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	2	2	4C	BB6C	F	NL,NP	40	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	2	2	4D	B7C3	F	P	38	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	2	2	4A	B93C	M	S	43	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	2	2	1C	B83D	M	S	34	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	2	2	1D	B795	F	P,PL	48	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	2	2	1D	B924	M	S	43	GRAASIDEMUS	N		
Z19	PORS	SPRING	180619	2	3	1	4A	B6C2	F	L	62	FJELLROTTE	N		
Z19	PORS	SPRING	180619	2	3	1	4D	B7E8	F	L	47	MARKMUS	N		
Z19	PORS	SPRING	180619	2	3	1	3C	BA2E	F	P	60	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	3	1	3A	BC1A	F	NP	16	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	3	1	3A	BADD	M	A/S	15	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	3	1	3A	B9DA	M	A/S	16	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	3	1	3A	BB4A	F	PERF	15	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	3	1	3A	B848	M	A/S	15	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	3	1	2C	BA49	M	A/S	18	GRAASIDEMUS			
Z19	PORS	SPRING	180619	2	3	1	2D	BAD8	F	OP	32	FJELLROTTE	N	YOY	
