year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G1	2B	FA9E4	M	S	38	GRAASIDEMUS	FALL19	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G1	2D	FB82D	F	NL	33,0	GRAASIDEMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G2	3C	FB9B9	M	S	43,0	GRAASIDEMUS	FALL19	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G2	3D	63A42	M	S	43,0	GRAASIDEMUS	FALL19	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G2	4B	FBBC8	M	S	43,0	GRAASIDEMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G2	4A	FBB5F	F	OP	32,0	GRAASIDEMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G6	3D	FB86A	M	S	25,0	ROEDMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G6	4D	FB8EB	M	S	25,0	ROEDMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G8	2B	FBA64	M	S	23,0	ROEDMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G16	3C	FB97F	F	NL,P	42,0	GRAASIDEMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G19	2B	FB917	M	S	26,0	ROEDMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G20	3B	FB8A6	M	S	24,0	ROEDMUS	N	
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G20	3B	FB8A6	M	S	25,0	ROEDMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G19	1D	FB83B	M	S	33,0	GRAASIDEMUS	N	
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G16	3C	FB97F	F	P	43,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G6	1D	FB7B5	F	OP	23,0	ROEDMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G2	3C	63A42	M	S	37,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G2	3C	5FC0E	M	S	33,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G2	3D	FBB89	F	OP	40,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G2	4B	FBBC8	M	S	45,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G2	4A	FB955	F	OP	35,0	GRAASIDEMUS	N	
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G2	4A	FBB5F	F	OP	33,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G1	1B	FBB2E	F	P?	40,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G1	1A	5FAB3	M	S	41,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G1	4D	0041	F	NP	32,0	GRAASIDEMUS	FALL19	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G1	1D	FAB3	M	S	36,0	GRAASIDEMUS	FALL19	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G1	1A	FBB2E	F	NP	40,0	GRAASIDEMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G2	3A	FC0E	M	S	38,0	GRAASIDEMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G2	2D	B611	M	S	40,0	GRAASIDEMUS	FALL19	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G2	2D	AA16	F	NP	29,0	GRAASIDEMUS	FALL19	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G6	1A	B7B5	F	PERF	22,0	ROEDMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G11	3C	F147	F	PERF	29,0	GRAASIDEMUS	FALL19	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G19	4B	B4AF	F	PERF	26,0	ROEDMUS	N	
Z20	PORSANGER	SPRING	180620	1	MÅSØY	G19	4C	FABD	M	S	22,0	ROEDMUS	N	
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G20	4C	E7E1	M	S	26,0	ROEDMUS	N	
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G19	3D	B4AF	F	PERF	25,0	ROEDMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G19	4B	B917	M	S	26,0	ROEDMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G15	4C	2581	M	S	37,0	GRAASIDEMUS	N	
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G6	3B	B86A	M	S	26,0	ROEDMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G2	2C	B611	M	S	41,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G2	2A	FE2A	F	L	34,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G2	2D	AA16	F	PERF	29,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G1	4C	0041	F	PERF	34,0	GRAASIDEMUS		
Z20	PORSANGER	SPRING	190620	2	MÅSØY	G1	1D	F1C3	F	PERF	34,0	GRAASIDEMUS	N	
Z20	PORSANGER	FALL	100920	1	MÅSØY	G1	3A	BACD	M	A	27,0	GRAASIDEMUS	N	
Z20	PORSANGER	FALL	100920	1	MÅSØY	G1	2B	B9F9	M	A	22,0	GRAASIDEMUS	N	
Z20	PORSANGER	FALL	100920	1	MÅSØY	G1	2A	B82D	F	PL	35,0	GRAASIDEMUS	SUM20	
