"";"year";"area";"seas";"datetime";"check";"transect";"station";"trapnum";"indnum_old";"Nindnum";"sex";"status";"weight";"species";"marked";"note"
"1";2018;"PORSANGER";"SPRING";160618;1;"MASOY";"G7";"3B";NA;"0007D60D46";"M";"S";"28";"ROEDMUS";"N";""
"2";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G2";"1A";NA;"0007D61132";"M";"S";"23";"GRAASIDEMUS";"N";""
"3";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G2";"4B";NA;NA;NA;NA;NA;"GRAASIDEMUS";"N";"ESCAPED DURING HANDLING"
"4";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G4";"2B";NA;"0007D6011F";"M";"S";"23";"ROEDMUS";"N";""
"5";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G8";"3C";NA;"0007D31996";"F";"C,L";"27";"ROEDMUS";"N";""
"6";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G8";"3C";NA;"0007D60CB7";"M";"S";"20";"ROEDMUS";"N";""
"7";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G8";"4A";NA;"UNM001";"M";"A";"11";"GRAASIDEMUS";"N";"NO PITTAG"
"8";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G8";"1C";NA;"0007D2C9AC";"F";"P,L";"54";"GRAASIDEMUS";"N";""
"9";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G11";"1B";NA;"0007D3082C";"M";"S";"43";"GRAASIDEMUS";"R";""
"10";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G11";"4A";NA;"0007D60F13";"F";"NP";"15";"ROEDMUS";"N";""
"11";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G11";"3D";NA;"0007D3653C";"M";"S";"31";"GRAASIDEMUS";"N";""
"12";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G11";"3A";NA;"0007D60848";"M";"S";"16";"GRAASIDEMUS";"N";""
"13";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G15";"3A";NA;"0007D2DFEE";"F";"O";"26";"GRAASIDEMUS";"N";""
"14";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G15";"2D";NA;"0007D60258";"F";"C,P";"38";"GRAASIDEMUS";"N";""
"15";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"3C";NA;"0007D2DEA3";"M";"S";"30";"GRAASIDEMUS";"N";""
"16";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"3C";NA;"0007D3947D";"F";"C";"26";"GRAASIDEMUS";"N";""
"17";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"3D";NA;NA;NA;NA;NA;"ROEDMUS";"N";"ESCAPED DURING HANDLING"
"18";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"1D";NA;"0007D2B7E2";"M";"S";"30";"ROEDMUS";"R";""
"19";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"4C";NA;"UNM002";"M";"A";"12";"GRAASIDEMUS";"N";"NO PITTAG"
"20";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"4C";NA;"UNM003";"M";"A";"11";"GRAASIDEMUS";"N";"NO PITTAG"
"21";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"4A";NA;"UNM004";"F";"NP";"12";"GRAASIDEMUS";"N";"NO PITTAG"
"22";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1C";NA;"0007D3D9AA";"F";"O,L";"40";"GRAASIDEMUS";"N";""
"23";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1C";NA;"UNM005";"M";"A";"11";"GRAASIDEMUS";"N";"NO PITTAG"
"24";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1C";NA;"UNM006";"F";"NP";"10";"GRAASIDEMUS";"N";"NO PITTAG"
"25";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1C";NA;"UNM007";"F";"NP";"10";"GRAASIDEMUS";"N";"NO PITTAG"
"26";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"3D";NA;"0007D39AEF";"F";"O,L";"38";"GRAASIDEMUS";"N";""
"27";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"1D";NA;"0007D3C69E";"M";"S";"38";"GRAASIDEMUS";"N";""
"28";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"1A";NA;"0007D3158F";"M";"S";"24";"ROEDMUS";"N";""
"29";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G01";"2D";NA;"0007D3A19B";"M";"S";"24";"GRAASIDEMUS";"N";""
"30";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G01";"2D";NA;"0007D2D3E9";"M";"S";"44";"GRAASIDEMUS";"N";""
"31";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G01";"1D";NA;"0007D60397";"F";"O,L";"43";"GRAASIDEMUS";"N";""
"32";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G01";"1B";NA;"0007D395AE";"F";"L,C";"45";"GRAASIDEMUS";"N";""
"33";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G02";"3B";NA;"0007D3CC12";"M";"S";"29";"GRAASIDEMUS";"N";""
"34";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G02";"3B";NA;"0007D3D18D";"F";"O";"15";"GRAASIDEMUS";"N";""
"35";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G02";"3B";NA;"0007D39E3E";"M";"S";"26";"GRAASIDEMUS";"N";""
"36";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G02";"3D";NA;"0007D607DA";"F";"C,L";"44";"GRAASIDEMUS";"R";""
"37";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G02";"2A";NA;"0007D60666";"M";"S";"31";"GRAASIDEMUS";"N";""
